,Company Name,Job Name,Location,Rating,Pay (Annual or Hourly)
0,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
1,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
2,Lumen,"Intern - Software Engineer - Summer 2022, CO or Remote (US)","Littleton, CO",3.3,59000 - 114000 
3,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
4,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
5,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
6,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
7,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
8,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
9,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
10,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
11,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
12,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
13,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"San Francisco, CA",4.4,38
14,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,53000 - 114000 
15,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
16,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
17,Belvedere Trading,Software Engineer Intern - Summer 2022,"Boulder, CO",3.5,105000
18,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
19,DraftKings,SOFTWARE ENGINEER INTERN (SUMMER 2022),"Boston, MA",4.4,66000 - 131000 
20,Unity Technologies,Software Engineer Intern,"San Francisco, CA",4.4,75000 - 144000 
21,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
22,Autodesk,"Intern, Software Engineer",California,4.3,N/A
23,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
24,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
25,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
26,TikTok,Software Engineer PhD Intern - 2022 Summer,"San Francisco, CA",3.6,83000 - 192000 
27,Slack,Software Engineering Intern,"San Francisco, CA",4.7,80000 - 193000 
28,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
29,Expedia Group,Intern - Software Development Engineer - Denver,"Denver, CO",4.1,N/A
30,BECHT,Software Engineering Intern/Co-op Student - Spring 2022,Remote,4.9,N/A
31,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,63000 - 125000 
32,Trimble,Software Engineer Intern - AWS,"Princeton, NJ",4.5,61000 - 120000 
33,Datix,Intern Software Developer,Remote,3.8,N/A
34,Lumen,Intern - Software Developer- Summer 2022,"Broomfield, CO",3.3,61000 - 120000 
